ABBR,layer,patched_logit_difference,indirect_effect,normalized_restoration,count
AICD,11,1.772265625,0.00546875,-0.012732919254658387,5
AICD,12,1.764453125,-0.00234375,-0.004523809523809525,5
AICD,13,1.76953125,0.002734375,-0.02839544513457557,5
AICD,14,1.76171875,-0.005078125,-0.06203933747412007,5
AICD,15,1.75703125,-0.009765625,-0.029223602484472054,5
AICD,16,1.76640625,-0.000390625,-0.026407867494824024,5
AICD,17,1.769921875,0.003125,-0.011169772256728782,5
AICD,18,1.771484375,0.0046875,0.028095238095238097,5
AICD,19,1.769140625,0.00234375,-0.049865424430641826,5
AICD,20,1.772265625,0.00546875,0.06161490683229813,5
AICD,21,1.775,0.008203125,0.08607660455486543,5
AICD,22,1.770703125,0.00390625,0.033581780538302276,5
AICD,23,1.775,0.008203125,0.030838509316770187,5
AICD,24,1.7703125,0.003515625,0.05089026915113872,5
AICD,25,1.769140625,0.00234375,0.03572463768115942,5
AICD,26,1.7625,-0.004296875,-0.019347826086956524,5
AICD,27,1.771484375,0.0046875,0.03334368530020704,5
AICD,28,1.75859375,-0.008203125,-0.020134575569358173,5
AICD,29,1.76328125,-0.003515625,-0.01363354037267081,5
AICD,30,1.77265625,0.005859375,0.03476190476190476,5
AICD,31,1.771875,0.005078125,0.03643892339544513,5
ALD,0,2.321875,-0.059375,-0.2539518455812189,5
ALD,1,2.40390625,0.02265625,0.05137599325230785,5
ALD,2,2.4125,0.03125,0.09374311389115664,5
ALD,3,2.39609375,0.01484375,0.02841279203909568,5
ALD,4,2.40234375,0.02109375,0.10161318300095894,5
ALD,5,2.3796875,-0.0015625,-0.06451069809581231,5
ALD,6,2.37578125,-0.00546875,-0.0352633462668747,5
ALD,7,2.36484375,-0.01640625,-0.05125180641024414,5
ALD,8,2.38046875,-0.00078125,0.023258262216179715,5
ALD,9,2.37890625,-0.00234375,0.0030587897155413143,5
ALD,10,2.359375,-0.021875,-0.06781790057983647,5
ALD,11,2.3734375,-0.0078125,-0.07486034103487386,5
ALD,12,2.38046875,-0.00078125,-0.03317325015168427,5
ALD,13,2.384375,0.003125,-0.05524740164564573,5
ALD,14,2.36875,-0.0125,-0.07811609530303863,5
ALD,15,2.38046875,-0.00078125,-0.016446293754170012,5
ALD,16,2.39296875,0.01171875,0.008778947801406766,5
ALD,17,2.3828125,0.0015625,0.016564122522313315,5
ALD,18,2.38125,0.0,-0.0023901129087872315,5
ALD,19,2.3765625,-0.0046875,0.0012698417275859742,5
ALD,20,2.38125,0.0,0.012845222868184503,5
ALD,21,2.3765625,-0.0046875,-0.017017566009303726,5
ALD,22,2.37421875,-0.00703125,-0.007280253440706719,5
ALD,23,2.36875,-0.0125,-0.04583590312969983,5
ALD,24,2.36484375,-0.01640625,-0.0914549831570724,5
ALD,25,2.3703125,-0.0109375,-0.05437596418199815,5
ALD,26,2.3625,-0.01875,-0.07373015827241403,5
ALD,27,2.384375,0.003125,0.023658011193210093,5
ALD,28,2.3671875,-0.0140625,-0.04378665544755527,5
ALD,29,2.37109375,-0.01015625,-0.061502790929311255,5
ALD,30,2.359375,-0.021875,-0.09978329943240855,5
ALD,31,2.3609375,-0.0203125,-0.0951590413194946,5
ALS,0,3.112890625,0.0853515625,0.0979973693035339,5
ALS,1,3.0837890625,0.05625,0.45655007610663156,5
ALS,2,2.997265625,-0.0302734375,-0.34164683468717116,5
ALS,3,2.925390625,-0.1021484375,-0.9278643827820746,5
ALS,4,3.0328125,0.0052734375,0.02705041487775567,5
