layer,head,patched_logit_difference,indirect_effect,normalized_restoration,c_to_b_patched_logit_difference,c_to_b_indirect_effect,c_to_b_normalized_restoration,indirect_effect_difference_a_minus_c
0,17,2.1659420072115387,-0.00022085336538461557,-0.03463961086637582,2.1653335336538464,-0.0008293269230769231,-0.0002572103331294751,0.0006084735576923076
0,18,2.165395132211539,-0.0007677283653846153,-0.044044584024917566,2.1653605769230766,-0.000802283653846154,-0.0010430081126515433,3.455528846153831e-05
0,19,2.1650540865384613,-0.0011087740384615387,-0.0375770798638599,2.1646289062500004,-0.0015339543269230769,0.0018929108707108236,0.0004251802884615384
0,20,2.165285456730769,-0.0008774038461538461,-0.050218528494230204,2.163661358173077,-0.0025015024038461536,0.00059671360184157,0.0016240985576923073
0,21,2.163234675480769,-0.0029281850961538464,-0.06512076324107409,2.1626487379807693,-0.0035141225961538456,0.0003693424269972123,0.0005859375
0,22,2.1655063100961542,-0.0006565504807692308,-0.035268221546643226,2.164797175480769,-0.0013656850961538461,-0.0014017518305490476,0.0007091346153846155
0,23,2.1625946514423076,-0.003568209134615385,-0.027800076120566605,2.165051081730769,-0.001111778846153846,5.4657396469123924e-05,-0.0024564302884615384
0,24,2.1701953125,0.0040324519230769225,0.026230756331528327,2.141524939903846,-0.024637920673076925,0.007460663314009319,0.02867037259615384
0,25,2.1658984375,-0.000264423076923077,-0.04072980712318339,2.166382211538462,0.0002193509615384615,-0.0015823687878295857,-0.0004837740384615386
0,26,2.164064002403846,-0.0020988581730769225,-0.04023138888632833,2.165857872596154,-0.0003049879807692311,0.0015036587029802113,-0.0017938701923076925
0,27,2.1654432091346156,-0.0007196514423076922,-0.0289345699250646,2.163832632211538,-0.0023302283653846155,-0.0005433218015203369,0.0016105769230769233
0,28,2.1649819711538463,-0.001180889423076923,-0.026884713756098657,2.16591796875,-0.00024489182692307647,-0.001362727163695987,-0.0009359975961538461
0,29,2.1656009615384613,-0.0005618990384615382,-0.02821741768519368,2.1664678485576925,0.000304987980769231,0.0006022543531516381,-0.0008668870192307693
0,30,2.1635982572115386,-0.002564603365384616,-0.04250531445837319,2.165013521634615,-0.0011493389423076923,0.0024517484961347415,-0.0014152644230769234
0,31,2.1650916466346155,-0.0010712139423076927,-0.02384851683531267,2.1650390625,-0.001123798076923077,-0.0005356837522258452,5.2584134615384456e-05
1,0,2.1655123197115387,-0.0006505408653846155,-0.037832187191468664,2.163341346153846,-0.0028215144230769227,0.0013484777510724209,0.002170973557692308
1,1,2.1643314302884615,-0.001831430288461538,-0.03268481264796934,2.164349459134615,-0.0018134014423076925,-0.0009348239519418425,-1.802884615384641e-05
1,2,2.164508713942308,-0.001654146634615385,-0.03590657152944595,2.1644411057692308,-0.0017217548076923076,0.0012373915624626372,6.760817307692297e-05
1,3,2.164520733173077,-0.0016421274038461544,-0.023268666954893134,2.165730168269231,-0.00043269230769230765,-0.0015587962259498835,-0.0012094350961538462
1,4,2.1629296875,-0.0032331730769230766,-0.04995736861675554,2.163503605769231,-0.002659254807692308,-0.00031228933674317663,-0.0005739182692307691
1,5,2.1638777043269233,-0.0022851562500000003,-0.048864758965498294,2.1653170072115384,-0.0008458533653846154,0.000584144439167182,-0.0014393028846153844
1,6,2.1652674278846153,-0.0008954326923076923,-0.0456748211182244,2.163985877403846,-0.002176983173076923,-9.80908306459543e-05,0.0012815504807692304
1,7,2.165246394230769,-0.0009164663461538463,-0.04270567938590148,2.164379507211538,-0.0017833533653846155,0.0009050257022974827,0.0008668870192307694
1,8,2.1651171875000004,-0.001045673076923077,-0.06310913854634076,2.164390024038462,-0.001772836538461538,0.0017479499119100244,0.0007271634615384617
1,9,2.1650555889423075,-0.001107271634615385,-0.03270687513412842,2.1654957932692303,-0.0006670673076923075,0.0001239215871751436,-0.0004402043269230767
1,10,2.163527644230769,-0.002635216346153846,-0.04228577077254432,2.1649879807692307,-0.0011748798076923078,0.0016681789922769218,-0.0014603365384615388
1,11,2.164906850961539,-0.0012560096153846154,-0.0337374327024262,2.1657421875,-0.00042067307692307727,0.0020281279004306122,-0.0008353365384615384
1,12,2.1655498798076924,-0.0006129807692307693,-0.03454884986572286,2.164220252403846,-0.0019426081730769232,-0.0018685931773593533,0.0013296274038461541
1,13,2.1660111177884613,-0.00015174278846153858,-0.021697861599596427,2.16482421875,-0.0013386418269230771,0.0006441516937662615,0.0011868990384615386
1,14,2.1652373798076923,-0.000925480769230769,-0.01816011256256455,2.1645958533653844,-0.0015670072115384617,-0.0013081320170563449,0.0006415264423076924
1,15,2.1634149639423077,-0.0027478966346153847,-0.0338000760874425,2.1646754807692306,-0.0014873798076923078,-0.0006349570885378055,-0.0012605168269230773
